Day,Row,Column,Pesticide,SoilType,BodyBurden,Soil,Weight,Total,Formulation,Parent
3,1,F,STRIKEB,PLE,0.045125592,0.239033957,15.0158,0,1,0
3,3,C,STRIKEB,PLE,0.03436473,0.200122524,14.8152,0,1,0
3,4,I,STRIKEB,PLE,0.046153362,0.096795088,13.8218,0,1,0
3,4,A,STRIKEB,PLE,-0.03780412,0.281677048,7.1089,0,1,0
3,6,I,STRIKEB,PLE,0.087585598,0.206645129,7.9909,0,1,0
3,6,A,STRIKEB,PLE,0.047186582,0.228234041,12.1126,0,1,0
3,1,E,STRIKEB,OLS,0.034362367,-0.022153661,11.4482,0,1,0
3,3,H,STRIKEB,OLS,0.117466434,-0.020723194,7.533,0,1,0
3,5,C,STRIKEB,OLS,0.057735705,-0.037893622,15.9483,0,1,0
3,6,A,STRIKEB,OLS,0.281546798,-0.105181925,10.4409,0,1,0
3,6,B,STRIKEB,OLS,0.049183559,-0.031076031,11.141,0,1,0
3,7,D,STRIKEB,OLS,-0.004910663,-0.072929806,12.2923,0,1,0
3,1,G,TDN,PLE,0.054682914,4.674365351,12.4407,0,0,1
3,1,B,TDN,PLE,0.047569044,7.830827641,10.5903,0,0,1
3,2,G,TDN,PLE,0.128239274,4.635937795,13.9438,0,0,1
3,4,F,TDN,PLE,0.045259005,4.201602757,8.8434,0,0,1
3,5,G,TDN,PLE,0.07810802,2.87177089,9.5231,0,0,1
3,7,C,TDN,PLE,0.085088513,3.105884367,11.5642,0,0,1
3,2,D,TDN,OLS,0.058923837,3.265462569,13.2227,0,0,1
3,2,B,TDN,OLS,0.164089083,6.244672854,8.1326,0,0,1
3,2,E,TDN,OLS,0.045446506,4.665343043,10.8067,0,0,1
3,5,I,TDN,OLS,0.071213474,2.210934909,11.4182,0,0,1
3,6,D,TDN,OLS,0.103409807,6.675754583,12.0198,0,0,1
3,7,I,TDN,OLS,0.092478812,3.885895652,14.0841,0,0,1
3,1,F,TDN,PLE,0.033994659,3.562987467,15.0158,0,1,1
3,3,C,TDN,PLE,0.031283569,8.471999903,14.8152,0,1,1
3,4,I,TDN,PLE,0.048523269,2.560933026,13.8218,0,1,1
3,4,A,TDN,PLE,0.054252358,6.772974737,7.1089,0,1,1
3,6,I,TDN,PLE,0.090409113,5.575944902,7.9909,0,1,1
3,6,A,TDN,PLE,0.080068639,7.956046792,12.1126,0,1,1
3,1,E,TDN,OLS,0.057530243,3.672238384,11.4482,0,1,1
3,3,H,TDN,OLS,0.045604095,6.942041052,7.533,0,1,1
3,5,C,TDN,OLS,0.056642657,5.741564785,15.9483,0,1,1
3,6,A,TDN,OLS,0.043771532,3.297517753,10.4409,0,1,1
3,6,B,TDN,OLS,0.064864645,3.903909229,11.141,0,1,1
3,7,D,TDN,OLS,0.055105166,5.520093605,12.2923,0,1,1
3,2,G,Pendi,PLE,5.199951046,10.58560279,7.5145,1,0,1
3,3,D,Pendi,PLE,1.811674231,12.26733887,13.2906,1,0,1
3,3,H,Pendi,PLE,3.993612884,13.10595638,10.0699,1,0,1
3,4,B,Pendi,PLE,1.38470843,22.90681995,13.469,1,0,1
3,5,F,Pendi,PLE,2.758089025,20.31371332,11.8384,1,0,1
3,7,H,Pendi,PLE,2.539315815,8.079352476,11.6099,1,0,1
3,1,E,Pendi,OLS,2.917259067,8.780199562,8.7943,1,0,1
3,3,B,Pendi,OLS,4.729568549,11.00768858,12.498,1,0,1
3,3,G,Pendi,OLS,6.874438593,6.310025314,14.8081,1,0,1
3,5,E,Pendi,OLS,1.492402712,10.01366331,13.4299,1,0,1
3,5,H,Pendi,OLS,1.888097365,13.91754836,13.5552,1,0,1
3,5,I,Pendi,OLS,4.287971426,17.79580859,8.3589,1,0,1
0,1,A,Pendi,PLE,2.879433002,8.724259234,13.5285,1,1,1
0,1,I,Pendi,PLE,3.750781295,11.64651601,13.7458,1,1,1
0,4,H,Pendi,PLE,2.648653905,11.21634881,11.4246,1,1,1
0,7,A,Pendi,PLE,2.314244032,5.697537118,10.0043,1,1,1
1,7,C,Pendi,PLE,0.896933721,6.758968643,13.4038,1,1,1
1,7,E,Pendi,PLE,5.703493109,14.91187384,10.5726,1,1,1
1,2,G,Pendi,OLS,0.875538299,16.05643523,17.4496,1,1,1
1,3,A,Pendi,OLS,1.356762725,24.88780061,13.6417,1,1,1
1,5,B,Pendi,OLS,3.719878758,10.84702222,9.9412,1,1,1
1,6,C,Pendi,OLS,1.277680298,5.135481376,16.3062,1,1,1
1,6,G,Pendi,OLS,1.648936582,8.871930181,11.3268,1,1,1
1,7,I,Pendi,OLS,1.540378381,14.06687759,10.2275,1,1,1
